x,current_suppression_factor
1.895000000000000000e+02,2.856998308316402557e+00
1.900000000000000000e+02,2.858589072987413715e+00
1.905000000000000000e+02,2.860180699393170656e+00
1.910000000000000000e+02,2.861773236006182053e+00
1.915000000000000000e+02,2.863366635313819408e+00
1.920000000000000000e+02,2.864960945842584206e+00
1.925000000000000000e+02,2.866556120026924948e+00
1.930000000000000000e+02,2.868152206447394992e+00
1.935000000000000000e+02,2.869749157485458557e+00
1.940000000000000000e+02,2.871347021775789710e+00
1.945000000000000000e+02,2.872945751646807544e+00
1.950000000000000000e+02,2.874545395787355684e+00
1.955000000000000000e+02,2.876145906472754366e+00
1.960000000000000000e+02,2.877747332446083384e+00
1.965000000000000000e+02,2.879349625929501943e+00
1.970000000000000000e+02,2.880952835720381078e+00
1.975000000000000000e+02,2.882556913987666114e+00
1.980000000000000000e+02,2.884161909583079275e+00
1.985000000000000000e+02,2.885767774622287618e+00
1.990000000000000000e+02,2.887374558011430281e+00
1.995000000000000000e+02,2.888982211812835210e+00
2.000000000000000000e+02,2.890590784987119299e+00
2.005000000000000000e+02,2.892200229543211432e+00
2.010000000000000000e+02,2.893810594496265765e+00
2.015000000000000000e+02,2.895421831801755719e+00
2.020000000000000000e+02,2.897033990529430447e+00
2.025000000000000000e+02,2.898647022581249288e+00
2.030000000000000000e+02,2.900260977081618119e+00
2.035000000000000000e+02,2.901875805878919579e+00
2.040000000000000000e+02,2.903491558152282437e+00
2.045000000000000000e+02,2.905108185696450462e+00
2.050000000000000000e+02,2.906725737745333937e+00
2.055000000000000000e+02,2.908344166039980472e+00
2.060000000000000000e+02,2.909963519869141813e+00
2.065000000000000000e+02,2.911583750920110791e+00
2.070000000000000000e+02,2.913204908536540572e+00
2.075000000000000000e+02,2.914826944351910587e+00
2.080000000000000000e+02,2.916449907764835814e+00
2.085000000000000000e+02,2.918073750354920559e+00
2.090000000000000000e+02,2.919698521575806005e+00
2.095000000000000000e+02,2.921324172953160936e+00
2.100000000000000000e+02,2.922950753995710915e+00
2.105000000000000000e+02,2.924578216175130141e+00
2.110000000000000000e+02,2.926206609055292951e+00
2.115000000000000000e+02,2.927835884053817672e+00
2.120000000000000000e+02,2.929466090789788257e+00
2.125000000000000000e+02,2.931097180626706322e+00
2.130000000000000000e+02,2.932729203238924942e+00
