x,current_density
1.415000000000000000e+02,3.944861563741752625e+09
1.420000000000000000e+02,3.873059869408408165e+09
1.425000000000000000e+02,3.802565024729607582e+09
1.430000000000000000e+02,3.733353315477806091e+09
1.435000000000000000e+02,3.665401316030429840e+09
1.440000000000000000e+02,3.598686167564478874e+09
1.445000000000000000e+02,3.533185289451546669e+09
1.450000000000000000e+02,3.468876647417568684e+09
1.455000000000000000e+02,3.405738475348213196e+09
1.460000000000000000e+02,3.343749533775745869e+09
1.465000000000000000e+02,3.282888841719275951e+09
1.470000000000000000e+02,3.223135925847650051e+09
1.475000000000000000e+02,3.164470561992584705e+09
1.480000000000000000e+02,3.106873015323915482e+09
1.485000000000000000e+02,3.050323791186702728e+09
1.490000000000000000e+02,2.994803866613032341e+09
1.495000000000000000e+02,2.940294450146767616e+09
1.500000000000000000e+02,2.886777205004401684e+09
1.505000000000000000e+02,2.834234017563260078e+09
1.510000000000000000e+02,2.782647212472635269e+09
1.515000000000000000e+02,2.731999329492937565e+09
1.520000000000000000e+02,2.682273330847477436e+09
1.525000000000000000e+02,2.633452386111328125e+09
1.530000000000000000e+02,2.585520072083652020e+09
1.535000000000000000e+02,2.538460165435913563e+09
1.540000000000000000e+02,2.492256835374536991e+09
1.545000000000000000e+02,2.446894443768583298e+09
1.550000000000000000e+02,2.402357730862798691e+09
1.555000000000000000e+02,2.358631622614965439e+09
1.560000000000000000e+02,2.315701409710023403e+09
1.565000000000000000e+02,2.273552561847022057e+09
1.570000000000000000e+02,2.232170900295966148e+09
1.575000000000000000e+02,2.191542418883687019e+09
1.580000000000000000e+02,2.151653450326323986e+09
1.585000000000000000e+02,2.112490493672485590e+09
1.590000000000000000e+02,2.074040374635889053e+09
1.595000000000000000e+02,2.036290079262878895e+09
1.600000000000000000e+02,1.999226908481652737e+09
1.605000000000000000e+02,1.962838317769621849e+09
1.610000000000000000e+02,1.927112066127830505e+09
1.615000000000000000e+02,1.892036061531733990e+09
1.620000000000000000e+02,1.857598504531911850e+09
1.625000000000000000e+02,1.823787739279643059e+09
1.630000000000000000e+02,1.790592391947745800e+09
1.635000000000000000e+02,1.758001227129867315e+09
1.640000000000000000e+02,1.726003281268291235e+09
1.645000000000000000e+02,1.694587724233100176e+09
1.650000000000000000e+02,1.663743987937063456e+09
1.655000000000000000e+02,1.633461632907826900e+09
1.660000000000000000e+02,1.603730472263486147e+09
1.665000000000000000e+02,1.574540443097697735e+09
1.670000000000000000e+02,1.545881725983286619e+09
1.675000000000000000e+02,1.517744620996671438e+09
1.680000000000000000e+02,1.490119662910813570e+09
1.685000000000000000e+02,1.462997501691608906e+09
1.690000000000000000e+02,1.436369013535672426e+09
1.695000000000000000e+02,1.410225185677388668e+09
1.700000000000000000e+02,1.384557223421408176e+09
1.705000000000000000e+02,1.359356439104868889e+09
1.710000000000000000e+02,1.334614355269082785e+09
1.715000000000000000e+02,1.310322597627039433e+09
1.720000000000000000e+02,1.286472994513552427e+09
1.725000000000000000e+02,1.263057473713571072e+09
1.730000000000000000e+02,1.240068158325021267e+09
1.735000000000000000e+02,1.217497267308662415e+09
1.740000000000000000e+02,1.195337207893026114e+09
1.745000000000000000e+02,1.173580479711573362e+09
1.750000000000000000e+02,1.152219763874462366e+09
