x,oxygen_diffusion_profile
7.450000000000000000e+01,1.026497753391310839e-03
7.500000000000000000e+01,9.485475142334340434e-04
7.550000000000000000e+01,8.760574302945467028e-04
7.600000000000000000e+01,8.086832842359856959e-04
7.650000000000000000e+01,7.460995158051832469e-04
7.700000000000000000e+01,6.879984427913732239e-04
7.750000000000000000e+01,6.340894970950746367e-04
7.800000000000000000e+01,5.840984770454131720e-04
7.850000000000000000e+01,5.377668169544492539e-04
7.900000000000000000e+01,4.948508747601192874e-04
7.950000000000000000e+01,4.551212384791270254e-04
8.000000000000000000e+01,4.183620520683383869e-04
8.050000000000000000e+01,3.843703611773172557e-04
8.100000000000000000e+01,3.529554791666573727e-04
8.150000000000000000e+01,3.239383736652191696e-04
8.200000000000000000e+01,2.971510738455056667e-04
8.250000000000000000e+01,2.724360985089712491e-04
8.300000000000000000e+01,2.496459049926711337e-04
8.350000000000000000e+01,2.286423588346574469e-04
8.400000000000000000e+01,2.092962240679189059e-04
8.450000000000000000e+01,1.914866739512382577e-04
8.500000000000000000e+01,1.751008218896513895e-04
8.550000000000000000e+01,1.600332722474176613e-04
8.600000000000000000e+01,1.461856907117324491e-04
8.650000000000000000e+01,1.334663938261688326e-04
8.700000000000000000e+01,1.217899572782574045e-04
8.750000000000000000e+01,1.110768424957960193e-04
8.800000000000000000e+01,1.012530410809635832e-04
8.850000000000000000e+01,9.224973658991643887e-05
8.900000000000000000e+01,8.400298314796806568e-05
8.950000000000000000e+01,7.645340037646744806e-05
9.000000000000000000e+01,6.954588409686250411e-05
9.050000000000000000e+01,6.322933226981982671e-05
9.100000000000000000e+01,5.745638562257526061e-05
9.150000000000000000e+01,5.218318241555147333e-05
9.200000000000000000e+01,4.736912679955003323e-05
9.250000000000000000e+01,4.297667021724327249e-05
9.300000000000000000e+01,3.897110530710100801e-05
9.350000000000000000e+01,3.532037177401324774e-05
9.400000000000000000e+01,3.199487369861665455e-05
9.450000000000000000e+01,2.896730776642514706e-05
9.500000000000000000e+01,2.621250190821511916e-05
9.550000000000000000e+01,2.370726385450234259e-05
9.600000000000000000e+01,2.143023911926122957e-05
9.650000000000000000e+01,1.936177794110646800e-05
9.700000000000000000e+01,1.748381072388167261e-05
9.750000000000000000e+01,1.577973153281304354e-05
