x,screening_profile_corrected
1.125000000000000000e+02,4.052174231829460460e+00
1.130000000000000000e+02,3.980634453209332069e+00
1.135000000000000000e+02,3.910357652608419166e+00
1.140000000000000000e+02,3.841321598187127151e+00
1.145000000000000000e+02,3.773504320521218869e+00
1.150000000000000000e+02,3.706884365833261530e+00
1.155000000000000000e+02,3.641440533577255945e+00
1.160000000000000000e+02,3.577152120807584268e+00
1.165000000000000000e+02,3.513998668947555082e+00
1.170000000000000000e+02,3.451960199606014079e+00
1.175000000000000000e+02,3.391016970208395875e+00
1.180000000000000000e+02,3.331149701560303544e+00
1.185000000000000000e+02,3.272339342030906817e+00
1.190000000000000000e+02,3.214567287152324315e+00
1.195000000000000000e+02,3.157815152056049790e+00
1.200000000000000000e+02,3.102064983386874086e+00
1.205000000000000000e+02,3.047299039703501577e+00
1.210000000000000000e+02,2.993499995975982486e+00
1.215000000000000000e+02,2.940650731671789142e+00
1.220000000000000000e+02,2.888734528096322141e+00
1.225000000000000000e+02,2.837734863895474469e+00
1.230000000000000000e+02,2.787635605489685808e+00
1.235000000000000000e+02,2.738420809733431938e+00
1.240000000000000000e+02,2.690074907684536942e+00
1.245000000000000000e+02,2.642582514170118912e+00
1.250000000000000000e+02,2.595928605124405930e+00
1.255000000000000000e+02,2.550098333819426077e+00
1.260000000000000000e+02,2.505077201996415592e+00
1.265000000000000000e+02,2.460850882528005101e+00
1.270000000000000000e+02,2.417405384560431525e+00
1.275000000000000000e+02,2.374726882382126814e+00
1.280000000000000000e+02,2.332801874786344154e+00
1.285000000000000000e+02,2.291617019928943400e+00
1.290000000000000000e+02,2.251159289113696449e+00
1.295000000000000000e+02,2.211415807429668146e+00
1.300000000000000000e+02,2.172374002154393136e+00
1.305000000000000000e+02,2.134021448968574486e+00
1.310000000000000000e+02,2.096346015165499566e+00
1.315000000000000000e+02,2.059335711247859635e+00
1.320000000000000000e+02,2.022978829125176681e+00
1.325000000000000000e+02,1.987263798904384204e+00
1.330000000000000000e+02,1.952179322250666926e+00
1.335000000000000000e+02,1.917714234190037059e+00
1.340000000000000000e+02,1.883857631802857480e+00
1.345000000000000000e+02,1.850598740863002689e+00
1.350000000000000000e+02,1.817927040027410346e+00
1.355000000000000000e+02,1.785832132142560091e+00
1.360000000000000000e+02,1.754303864087681353e+00
1.365000000000000000e+02,1.723332202585203143e+00
1.370000000000000000e+02,1.692907349849731569e+00
1.375000000000000000e+02,1.663019623744841580e+00
1.380000000000000000e+02,1.633659569384611210e+00
1.385000000000000000e+02,1.604817843484647177e+00
1.390000000000000000e+02,1.576485322057825211e+00
1.395000000000000000e+02,1.548652988812756481e+00
1.400000000000000000e+02,1.521312039080433109e+00
1.405000000000000000e+02,1.494453772118484958e+00
1.410000000000000000e+02,1.468069691400636811e+00
1.415000000000000000e+02,1.442151400690062868e+00
1.420000000000000000e+02,1.416690700818947768e+00
1.425000000000000000e+02,1.391679489399031633e+00
1.430000000000000000e+02,1.367109854214112241e+00
1.435000000000000000e+02,1.342973976440485329e+00
1.440000000000000000e+02,1.319264220770929530e+00
1.445000000000000000e+02,1.295973042022203092e+00
1.450000000000000000e+02,1.273093072104901191e+00
1.455000000000000000e+02,1.250617029899471655e+00
1.460000000000000000e+02,1.228537805182330578e+00
1.465000000000000000e+02,1.206848371656005670e+00
1.470000000000000000e+02,1.185541867938036287e+00
1.475000000000000000e+02,1.164611513634856710e+00
1.480000000000000000e+02,1.144050687496273921e+00
1.485000000000000000e+02,1.123852846426568908e+00
1.490000000000000000e+02,1.104011600903752610e+00
1.495000000000000000e+02,1.084520636825085260e+00
1.500000000000000000e+02,1.065373788286838153e+00
1.505000000000000000e+02,1.046564962165035029e+00
1.510000000000000000e+02,1.028088208348092447e+00
1.515000000000000000e+02,1.009937646957061563e+00
