x,current_density_corrected
1.335000000000000000e+02,5.436579876221158028e+09
1.340000000000000000e+02,5.340598879713039398e+09
1.345000000000000000e+02,5.246312351529960632e+09
1.350000000000000000e+02,5.153690464432315826e+09
1.355000000000000000e+02,5.062703743248779297e+09
1.360000000000000000e+02,4.973323404623062134e+09
1.365000000000000000e+02,4.885521004945603371e+09
1.370000000000000000e+02,4.799268768209967613e+09
1.375000000000000000e+02,4.714539246266107559e+09
1.380000000000000000e+02,4.631305635202569962e+09
1.385000000000000000e+02,4.549541447490077972e+09
1.390000000000000000e+02,4.469220817291115761e+09
1.395000000000000000e+02,4.390318184077710152e+09
1.400000000000000000e+02,4.312808587255896568e+09
1.405000000000000000e+02,4.236667360856138229e+09
1.410000000000000000e+02,4.161870417846623421e+09
1.415000000000000000e+02,4.088393955508807659e+09
1.420000000000000000e+02,4.016214729800409794e+09
1.425000000000000000e+02,3.945309771042119503e+09
1.430000000000000000e+02,3.875656648678534985e+09
1.435000000000000000e+02,3.807233196915163040e+09
1.440000000000000000e+02,3.740017770213347912e+09
1.445000000000000000e+02,3.673988978529336929e+09
1.450000000000000000e+02,3.609125933867479801e+09
1.455000000000000000e+02,3.545407994785306931e+09
1.460000000000000000e+02,3.482815004317948818e+09
1.465000000000000000e+02,3.421327043424934387e+09
1.470000000000000000e+02,3.360924660587813377e+09
1.475000000000000000e+02,3.301588633885740280e+09
1.480000000000000000e+02,3.243300192557716370e+09
1.485000000000000000e+02,3.186040787404973507e+09
1.490000000000000000e+02,3.129792304599052906e+09
1.495000000000000000e+02,3.074536844119569302e+09
1.500000000000000000e+02,3.020256926079509735e+09
1.505000000000000000e+02,2.966935276917153358e+09
1.510000000000000000e+02,2.914555028500471115e+09
1.515000000000000000e+02,2.863099511801826000e+09
1.520000000000000000e+02,2.812552449034184933e+09
1.525000000000000000e+02,2.762897754546720028e+09
1.530000000000000000e+02,2.714119720236708164e+09
1.535000000000000000e+02,2.666202823413313389e+09
1.540000000000000000e+02,2.619131905720508099e+09
1.545000000000000000e+02,2.572891987725172043e+09
1.550000000000000000e+02,2.527468441578128815e+09
1.555000000000000000e+02,2.482846812091231346e+09
1.560000000000000000e+02,2.439012983355661869e+09
1.565000000000000000e+02,2.395953006080901623e+09
1.570000000000000000e+02,2.353653258381781578e+09
1.575000000000000000e+02,2.312100279160183430e+09
1.580000000000000000e+02,2.271280923264921188e+09
1.585000000000000000e+02,2.231182200704688072e+09
1.590000000000000000e+02,2.191791426377710819e+09
1.595000000000000000e+02,2.153096064911863804e+09
1.600000000000000000e+02,2.115083875154139042e+09
1.605000000000000000e+02,2.077742760440987110e+09
1.610000000000000000e+02,2.041060908030999899e+09
1.615000000000000000e+02,2.005026644615436316e+09
1.620000000000000000e+02,1.969628570871087551e+09
1.625000000000000000e+02,1.934855422027598619e+09
1.630000000000000000e+02,1.900696197711294174e+09
1.635000000000000000e+02,1.867140027392319679e+09
1.640000000000000000e+02,1.834176295684238195e+09
1.645000000000000000e+02,1.801794512500203133e+09
1.650000000000000000e+02,1.769984433967367649e+09
1.655000000000000000e+02,1.738735937127282858e+09
1.660000000000000000e+02,1.708039136618586779e+09
1.665000000000000000e+02,1.677884263762596846e+09
1.670000000000000000e+02,1.648261779162377357e+09
1.675000000000000000e+02,1.619162256020052433e+09
1.680000000000000000e+02,1.590576488795170307e+09
1.685000000000000000e+02,1.562495380605635881e+09
1.690000000000000000e+02,1.534910048083289146e+09
1.695000000000000000e+02,1.507811712715538740e+09
1.700000000000000000e+02,1.481191802031242609e+09
1.705000000000000000e+02,1.455041844745128870e+09
1.710000000000000000e+02,1.429353568402407169e+09
1.715000000000000000e+02,1.404118798192891121e+09
1.720000000000000000e+02,1.379329551178275824e+09
1.725000000000000000e+02,1.354977938647526979e+09
1.730000000000000000e+02,1.331056257046427965e+09
1.735000000000000000e+02,1.307556893750299931e+09
1.740000000000000000e+02,1.284472414811227322e+09
1.745000000000000000e+02,1.261795474028512478e+09
1.750000000000000000e+02,1.239518897624953985e+09
1.755000000000000000e+02,1.217635596499621630e+09
1.760000000000000000e+02,1.196138647940664053e+09
1.765000000000000000e+02,1.175021210949030638e+09
1.770000000000000000e+02,1.154276605091523647e+09
1.775000000000000000e+02,1.133898228787988663e+09
1.780000000000000000e+02,1.113879635404696226e+09
1.785000000000000000e+02,1.094214454401290655e+09
1.790000000000000000e+02,1.074896464761079073e+09
1.795000000000000000e+02,1.055919518897653222e+09
1.800000000000000000e+02,1.037277613515291214e+09
1.805000000000000000e+02,1.018964816178667188e+09
1.810000000000000000e+02,1.000975333693307519e+09
1.815000000000000000e+02,9.833034412451875210e+08
1.820000000000000000e+02,9.659435483880305290e+08
1.825000000000000000e+02,9.488901306628550291e+08
1.830000000000000000e+02,9.321377932758718729e+08
1.835000000000000000e+02,9.156812051111865044e+08
1.840000000000000000e+02,8.995151601801195145e+08
1.845000000000000000e+02,8.836345139433090687e+08
1.850000000000000000e+02,8.680342426094504595e+08
1.855000000000000000e+02,8.527093816859745979e+08
1.860000000000000000e+02,8.376550832024713755e+08
1.865000000000000000e+02,8.228665564119493961e+08
1.870000000000000000e+02,8.083391230115741491e+08
1.875000000000000000e+02,7.940681599192457199e+08
1.880000000000000000e+02,7.800491525617390871e+08
1.885000000000000000e+02,7.662776396539674997e+08
1.890000000000000000e+02,7.527492646221638918e+08
1.895000000000000000e+02,7.394597223157395124e+08
1.900000000000000000e+02,7.264048086307752132e+08
1.905000000000000000e+02,7.135803690868396759e+08
1.910000000000000000e+02,7.009823467137753963e+08
1.915000000000000000e+02,6.886067324282069206e+08
1.920000000000000000e+02,6.764496112444013357e+08
1.925000000000000000e+02,6.645071143874843121e+08
1.930000000000000000e+02,6.527754638870272636e+08
1.935000000000000000e+02,6.412509263661879301e+08
1.940000000000000000e+02,6.299298560746277571e+08
1.945000000000000000e+02,6.188086502949243784e+08
1.950000000000000000e+02,6.078837908694368601e+08
1.955000000000000000e+02,5.971518011673891544e+08
1.960000000000000000e+02,5.866092861583938599e+08
1.965000000000000000e+02,5.762528908855848312e+08
1.970000000000000000e+02,5.660793391366631985e+08
1.975000000000000000e+02,5.560853933703720570e+08
1.980000000000000000e+02,5.462678920341466665e+08
1.985000000000000000e+02,5.366237108930690885e+08
1.990000000000000000e+02,5.271497990414876938e+08
1.995000000000000000e+02,5.178431415853673220e+08
2.000000000000000000e+02,5.087007943935873508e+08
2.005000000000000000e+02,4.997198480863217711e+08
2.010000000000000000e+02,4.908974615701231956e+08
2.015000000000000000e+02,4.822308272866250277e+08
2.020000000000000000e+02,4.737172035739763975e+08
2.025000000000000000e+02,4.653538811317587495e+08
2.030000000000000000e+02,4.571382142498454452e+08
2.035000000000000000e+02,4.490675884469680786e+08
2.040000000000000000e+02,4.411394506066395640e+08
2.045000000000000000e+02,4.333512777482942939e+08
