x,current_density
1.160000000000000000e+02,9.416130912453575134e+09
1.165000000000000000e+02,9.244744796945356369e+09
1.170000000000000000e+02,9.076478222979595184e+09
1.175000000000000000e+02,8.911274238498662949e+09
1.180000000000000000e+02,8.749077269440418243e+09
1.185000000000000000e+02,8.589832418085656166e+09
1.190000000000000000e+02,8.433486115004484177e+09
1.195000000000000000e+02,8.279985442713332176e+09
1.200000000000000000e+02,8.129278764104732513e+09
1.205000000000000000e+02,7.981315070500952721e+09
1.210000000000000000e+02,7.836044587415445328e+09
1.215000000000000000e+02,7.693418146123073578e+09
1.220000000000000000e+02,7.553387767570938110e+09
1.225000000000000000e+02,7.415906056616905212e+09
1.230000000000000000e+02,7.280926764877971649e+09
1.235000000000000000e+02,7.148404206819451332e+09
1.240000000000000000e+02,7.018293802300617218e+09
1.245000000000000000e+02,6.890551513726351738e+09
1.250000000000000000e+02,6.765134369022430420e+09
1.255000000000000000e+02,6.641999919089875221e+09
1.260000000000000000e+02,6.521106741915811539e+09
1.265000000000000000e+02,6.402413919598179817e+09
1.270000000000000000e+02,6.285881524272627831e+09
1.275000000000000000e+02,6.171470114001648903e+09
1.280000000000000000e+02,6.059141201173436165e+09
1.285000000000000000e+02,5.948856766574988365e+09
1.290000000000000000e+02,5.840579710895164490e+09
1.295000000000000000e+02,5.734273386325850487e+09
1.300000000000000000e+02,5.629902031778679848e+09
1.305000000000000000e+02,5.527430321381977081e+09
1.310000000000000000e+02,5.426823783998627663e+09
1.315000000000000000e+02,5.328048368009345055e+09
1.320000000000000000e+02,5.231070845697963715e+09
1.325000000000000000e+02,5.135858393733566284e+09
1.330000000000000000e+02,5.042378982969042778e+09
1.335000000000000000e+02,4.950600974055809975e+09
1.340000000000000000e+02,4.860493493181791306e+09
1.345000000000000000e+02,4.772026042272876740e+09
1.350000000000000000e+02,4.685168861177518845e+09
1.355000000000000000e+02,4.599892551928750038e+09
1.360000000000000000e+02,4.516168427864295959e+09
1.365000000000000000e+02,4.433968151441966057e+09
1.370000000000000000e+02,4.353264070766536713e+09
1.375000000000000000e+02,4.274028870469627380e+09
1.380000000000000000e+02,4.196235896097603798e+09
1.385000000000000000e+02,4.119858817584692001e+09
1.390000000000000000e+02,4.044871941939767361e+09
1.395000000000000000e+02,3.971249888858454227e+09
1.400000000000000000e+02,3.898967892130874157e+09
1.405000000000000000e+02,3.828001486954859257e+09
1.410000000000000000e+02,3.758326800471511364e+09
1.415000000000000000e+02,3.689920250357458115e+09
1.420000000000000000e+02,3.622758824880392075e+09
1.425000000000000000e+02,3.556819792363523483e+09
1.430000000000000000e+02,3.492080971139126301e+09
1.435000000000000000e+02,3.428520449493005753e+09
1.440000000000000000e+02,3.366116845880459309e+09
1.445000000000000000e+02,3.304849038972716808e+09
1.450000000000000000e+02,3.244696418486565590e+09
1.455000000000000000e+02,3.185638624968384266e+09
1.460000000000000000e+02,3.127655791575996876e+09
1.465000000000000000e+02,3.070728293249052048e+09
1.470000000000000000e+02,3.014836979769476414e+09
1.475000000000000000e+02,2.959962933979624748e+09
1.480000000000000000e+02,2.906087696435915947e+09
1.485000000000000000e+02,2.853193032348392010e+09
1.490000000000000000e+02,2.801261148130789757e+09
1.495000000000000000e+02,2.750274466746904373e+09
1.500000000000000000e+02,2.700215836449405193e+09
1.505000000000000000e+02,2.651068314229765892e+09
1.510000000000000000e+02,2.602815367027586937e+09
1.515000000000000000e+02,2.555440662991774082e+09
1.520000000000000000e+02,2.508928265431972980e+09
1.525000000000000000e+02,2.463262431609245300e+09
1.530000000000000000e+02,2.418427799691400528e+09
1.535000000000000000e+02,2.374409194801571369e+09
1.540000000000000000e+02,2.331191809229816437e+09
1.545000000000000000e+02,2.288761015477782249e+09
1.550000000000000000e+02,2.247102539969826698e+09
1.555000000000000000e+02,2.206202282841420650e+09
1.560000000000000000e+02,2.166046485384272099e+09
1.565000000000000000e+02,2.126621556335201979e+09
1.570000000000000000e+02,2.087914233281298161e+09
1.575000000000000000e+02,2.049911415214789867e+09
1.580000000000000000e+02,2.012600318116092920e+09
1.585000000000000000e+02,1.975968313548662424e+09
1.590000000000000000e+02,1.940003078629944324e+09
1.595000000000000000e+02,1.904692440448328972e+09
