x,screening_profile
5.050000000000000000e+01,2.506562458445907993e+01
5.100000000000000000e+01,2.465396116702069662e+01
5.150000000000000000e+01,2.424765370096416461e+01
5.200000000000000000e+01,2.384668097259904229e+01
5.250000000000000000e+01,2.345102104003353105e+01
5.300000000000000000e+01,2.306065048158382425e+01
5.350000000000000000e+01,2.267554512398064759e+01
5.400000000000000000e+01,2.229567927854638043e+01
5.450000000000000000e+01,2.192102649278528403e+01
5.500000000000000000e+01,2.155155878498801059e+01
5.550000000000000000e+01,2.118724740805397033e+01
5.600000000000000000e+01,2.082806209254690089e+01
5.650000000000000000e+01,2.047397181208968320e+01
5.700000000000000000e+01,2.012494404413416405e+01
5.750000000000000000e+01,1.978094552690482288e+01
5.800000000000000000e+01,1.944194154628370441e+01
5.850000000000000000e+01,1.910789667503982159e+01
5.900000000000000000e+01,1.877877409328988634e+01
5.950000000000000000e+01,1.845453630161264513e+01
6.000000000000000000e+01,1.813514448155296321e+01
6.050000000000000000e+01,1.782055917516034427e+01
6.100000000000000000e+01,1.751073969098219152e+01
6.150000000000000000e+01,1.720564474355900231e+01
6.200000000000000000e+01,1.690523190932552922e+01
6.250000000000000000e+01,1.660945822061689370e+01
6.300000000000000000e+01,1.631827967488571929e+01
6.350000000000000000e+01,1.603165177880040915e+01
6.400000000000000000e+01,1.574952911321106619e+01
6.450000000000000000e+01,1.547186582393186605e+01
6.500000000000000000e+01,1.519861524396514696e+01
6.550000000000000000e+01,1.492973032853512017e+01
6.600000000000000000e+01,1.466516333522131710e+01
6.650000000000000000e+01,1.440486620173424903e+01
6.700000000000000000e+01,1.414879028382674875e+01
6.750000000000000000e+01,1.389688667516034926e+01
6.800000000000000000e+01,1.364910600216314229e+01
6.850000000000000000e+01,1.340539868611832830e+01
6.900000000000000000e+01,1.316571479352426088e+01
6.950000000000000000e+01,1.293000424123659009e+01
7.000000000000000000e+01,1.269821670036204964e+01
7.050000000000000000e+01,1.247030174589844265e+01
7.100000000000000000e+01,1.224620881175760623e+01
7.150000000000000000e+01,1.202588728687171837e+01
7.200000000000000000e+01,1.180928651859008127e+01
7.250000000000000000e+01,1.159635585765632193e+01
7.300000000000000000e+01,1.138704470695398818e+01
7.350000000000000000e+01,1.118130251810995546e+01
7.400000000000000000e+01,1.097907888236961504e+01
7.450000000000000000e+01,1.078032348185149836e+01
7.500000000000000000e+01,1.058498621920759497e+01
7.550000000000000000e+01,1.039301712674841305e+01
7.600000000000000000e+01,1.020436653148066064e+01
7.650000000000000000e+01,1.001898492544716568e+01
7.700000000000000000e+01,9.836823162725307768e+00
7.750000000000000000e+01,9.657832291125929558e+00
7.800000000000000000e+01,9.481958918598882846e+00
7.850000000000000000e+01,9.309196982465687498e+00
7.900000000000000000e+01,9.139564064209999117e+00
7.950000000000000000e+01,8.973022167933635274e+00
8.000000000000000000e+01,8.809515095915148919e+00
8.050000000000000000e+01,8.648987379380585594e+00
8.100000000000000000e+01,8.491384893188021366e+00
8.150000000000000000e+01,8.336654171658116397e+00
8.200000000000000000e+01,8.184743044222173580e+00
8.250000000000000000e+01,8.035599975959499375e+00
8.300000000000000000e+01,7.889174680290859776e+00
8.350000000000000000e+01,7.745417483330427011e+00
8.400000000000000000e+01,7.604279914453587530e+00
8.450000000000000000e+01,7.465714093603483370e+00
8.500000000000000000e+01,7.329673300532162372e+00
8.550000000000000000e+01,7.196111384232778185e+00
8.600000000000000000e+01,7.064983311624244422e+00
8.650000000000000000e+01,6.936244598310079112e+00
8.700000000000000000e+01,6.809851837448897882e+00
8.750000000000000000e+01,6.685762151069763348e+00
8.800000000000000000e+01,6.563933699844041847e+00
8.850000000000000000e+01,6.444325154214918250e+00
8.900000000000000000e+01,6.326896185760312541e+00
8.950000000000000000e+01,6.211606957421027531e+00
9.000000000000000000e+01,6.098418597119512619e+00
9.050000000000000000e+01,5.987292706396941888e+00
9.100000000000000000e+01,5.878191816928612923e+00
9.150000000000000000e+01,5.771078916905177714e+00
9.200000000000000000e+01,5.665917891062301592e+00
9.250000000000000000e+01,5.562673064165268855e+00
9.300000000000000000e+01,5.461309625148244251e+00
9.350000000000000000e+01,5.361793187084611390e+00
9.400000000000000000e+01,5.264090196009671097e+00
9.450000000000000000e+01,5.168167506781379927e+00
9.500000000000000000e+01,5.073992777139594956e+00
9.550000000000000000e+01,4.981534058883380744e+00
9.600000000000000000e+01,4.890760177699941202e+00
9.650000000000000000e+01,4.801640339105376576e+00
9.700000000000000000e+01,4.714144494557188203e+00
9.750000000000000000e+01,4.628242961625353757e+00
9.800000000000000000e+01,4.543906776883732235e+00
9.850000000000000000e+01,4.461107329797560084e+00
9.900000000000000000e+01,4.379816702871205614e+00
9.950000000000000000e+01,4.300007318756765784e+00
1.000000000000000000e+02,4.221652268118360141e+00
1.005000000000000000e+02,4.144724969484383514e+00
1.010000000000000000e+02,4.069199485271925987e+00
1.015000000000000000e+02,3.995050193922484283e+00
1.020000000000000000e+02,3.922252094514069309e+00
1.025000000000000000e+02,3.850780490736785300e+00
1.030000000000000000e+02,3.780611284504759695e+00
1.035000000000000000e+02,3.711720671344024503e+00
1.040000000000000000e+02,3.644085423401501878e+00
1.045000000000000000e+02,3.577682595833073353e+00
1.050000000000000000e+02,3.512489799592508621e+00
1.055000000000000000e+02,3.448484918422491052e+00
1.060000000000000000e+02,3.385646371792553566e+00
1.065000000000000000e+02,3.323952842110153849e+00
1.070000000000000000e+02,3.263383528163378511e+00
1.075000000000000000e+02,3.203917882182991228e+00
1.080000000000000000e+02,3.145535854132786913e+00
1.085000000000000000e+02,3.088217638266891107e+00
1.090000000000000000e+02,3.031943908598267790e+00
1.095000000000000000e+02,2.976695574608371420e+00
