x,enhancement_factor
1.650000000000000000e+02,1.063487054022647982e+00
1.655000000000000000e+02,1.063487053634265767e+00
1.660000000000000000e+02,1.063487053286438888e+00
1.665000000000000000e+02,1.063487052975041758e+00
1.670000000000000000e+02,1.063487052696356017e+00
1.675000000000000000e+02,1.063487052447032344e+00
1.680000000000000000e+02,1.063487052224055596e+00
1.685000000000000000e+02,1.063487052024710833e+00
1.690000000000000000e+02,1.063487051846555120e+00
1.695000000000000000e+02,1.063487051687392659e+00
1.700000000000000000e+02,1.063487051545247919e+00
1.705000000000000000e+02,1.063487051418345208e+00
1.710000000000000000e+02,1.063487051305090025e+00
1.715000000000000000e+02,1.063487051204049960e+00
1.720000000000000000e+02,1.063487051113938708e+00
1.725000000000000000e+02,1.063487051033602304e+00
1.730000000000000000e+02,1.063487050962005354e+00
1.735000000000000000e+02,1.063487050898219266e+00
1.740000000000000000e+02,1.063487050841411818e+00
1.745000000000000000e+02,1.063487050790837163e+00
1.750000000000000000e+02,1.063487050745827167e+00
1.755000000000000000e+02,1.063487050705783421e+00
1.760000000000000000e+02,1.063487050670170353e+00
1.765000000000000000e+02,1.063487050638508569e+00
1.770000000000000000e+02,1.063487050610369966e+00
1.775000000000000000e+02,1.063487050585370630e+00
1.780000000000000000e+02,1.063487050563168390e+00
1.785000000000000000e+02,1.063487050543457046e+00
1.790000000000000000e+02,1.063487050525963262e+00
1.795000000000000000e+02,1.063487050510443233e+00
1.800000000000000000e+02,1.063487050496678465e+00
1.805000000000000000e+02,1.063487050484475116e+00
1.810000000000000000e+02,1.063487050473659323e+00
1.815000000000000000e+02,1.063487050464077432e+00
1.820000000000000000e+02,1.063487050455590888e+00
1.825000000000000000e+02,1.063487050448077564e+00
1.830000000000000000e+02,1.063487050441428217e+00
1.835000000000000000e+02,1.063487050435544923e+00
1.840000000000000000e+02,1.063487050430341752e+00
1.845000000000000000e+02,1.063487050425741876e+00
1.850000000000000000e+02,1.063487050421676017e+00
1.855000000000000000e+02,1.063487050418084001e+00
1.860000000000000000e+02,1.063487050414911650e+00
1.865000000000000000e+02,1.063487050412110779e+00
1.870000000000000000e+02,1.063487050409638757e+00
1.875000000000000000e+02,1.063487050407457835e+00
1.880000000000000000e+02,1.063487050405534262e+00
1.885000000000000000e+02,1.063487050403838285e+00
1.890000000000000000e+02,1.063487050402343481e+00
1.895000000000000000e+02,1.063487050401026535e+00
1.900000000000000000e+02,1.063487050399866574e+00
1.905000000000000000e+02,1.063487050398845613e+00
1.910000000000000000e+02,1.063487050397946554e+00
1.915000000000000000e+02,1.063487050397155853e+00
1.920000000000000000e+02,1.063487050396460187e+00
1.925000000000000000e+02,1.063487050395848676e+00
1.930000000000000000e+02,1.063487050395311106e+00
1.935000000000000000e+02,1.063487050394838818e+00
1.940000000000000000e+02,1.063487050394424038e+00
1.945000000000000000e+02,1.063487050394059885e+00
1.950000000000000000e+02,1.063487050393740141e+00
1.955000000000000000e+02,1.063487050393459699e+00
1.960000000000000000e+02,1.063487050393213895e+00
1.965000000000000000e+02,1.063487050392998068e+00
1.970000000000000000e+02,1.063487050392808886e+00
1.975000000000000000e+02,1.063487050392643241e+00
1.980000000000000000e+02,1.063487050392498245e+00
1.985000000000000000e+02,1.063487050392371236e+00
1.990000000000000000e+02,1.063487050392259992e+00
1.995000000000000000e+02,1.063487050392162514e+00
2.000000000000000000e+02,1.063487050392077471e+00
2.005000000000000000e+02,1.063487050392003086e+00
2.010000000000000000e+02,1.063487050391937805e+00
2.015000000000000000e+02,1.063487050391881406e+00
2.020000000000000000e+02,1.063487050391831668e+00
2.025000000000000000e+02,1.063487050391788369e+00
2.030000000000000000e+02,1.063487050391750399e+00
2.035000000000000000e+02,1.063487050391717315e+00
2.040000000000000000e+02,1.063487050391688449e+00
2.045000000000000000e+02,1.063487050391663358e+00
2.050000000000000000e+02,1.063487050391641375e+00
2.055000000000000000e+02,1.063487050391622279e+00
2.060000000000000000e+02,1.063487050391605626e+00
2.065000000000000000e+02,1.063487050391591193e+00
2.070000000000000000e+02,1.063487050391578537e+00
2.075000000000000000e+02,1.063487050391567434e+00
2.080000000000000000e+02,1.063487050391557887e+00
2.085000000000000000e+02,1.063487050391549671e+00
2.090000000000000000e+02,1.063487050391542343e+00
2.095000000000000000e+02,1.063487050391536126e+00
2.100000000000000000e+02,1.063487050391530797e+00
2.105000000000000000e+02,1.063487050391525912e+00
2.110000000000000000e+02,1.063487050391521915e+00
2.115000000000000000e+02,1.063487050391518141e+00
2.120000000000000000e+02,1.063487050391515032e+00
